feature,correlation_with_next_year_label,abs_correlation
unique_provider_count,0.3365548680520735,0.3365548680520735
claims_per_month_chronic_count_interaction,0.3322426112291425,0.3322426112291425
carrier_claim_count,0.32857202291186355,0.32857202291186355
carrier_total_cost,0.32469742224423004,0.32469742224423004
providers_per_month_chronic_count_interaction,0.3215034745730754,0.3215034745730754
total_claim_count,0.31477157730780536,0.31477157730780536
claims_per_enrollment_month,0.3095443984583579,0.3095443984583579
chronic_condition_count,0.29378221096943663,0.29378221096943663
total_claim_days,0.28166091324868087,0.28166091324868087
chronic_condition_count_squared,0.28052182253284086,0.28052182253284086
carrier_claim_count_log1p,0.27367538213141807,0.27367538213141807
unique_provider_count_log1p,0.2698940661246756,0.2698940661246756
outpatient_claim_count,0.2667897084689374,0.2667897084689374
outpatient_total_cost,0.26208178075637106,0.26208178075637106
outpatient_claim_count_log1p,0.2575351588803264,0.2575351588803264
annual_claim_cost,0.25088510499838496,0.25088510499838496
cost_per_enrollment_month,0.23551965653191065,0.23551965653191065
total_claim_count_log1p,0.22884285293381004,0.22884285293381004
any_outpatient_claim,0.19943436234300496,0.19943436234300496
rx_total_cost,0.18514607935026414,0.18514607935026414
any_carrier_claim,0.17297843618700764,0.17297843618700764
pde_claim_count,0.16573416134929575,0.16573416134929575
inpatient_claim_count_log1p,0.16535961983805728,0.16535961983805728
inpatient_claim_count,0.16356901010275643,0.16356901010275643
any_inpatient_claim,0.15135976831769926,0.15135976831769926
inpatient_total_cost,0.13643713167979982,0.13643713167979982
pde_claim_count_log1p,0.12309153923267309,0.12309153923267309
provider_fragmentation_index,0.11157883627272246,0.11157883627272246
any_pde_claim,0.08462503870922543,0.08462503870922543
enrollment_months_count,0.06951872875590516,0.06951872875590516
age_years,0.02275318738771965,0.02275318738771965
sex,0.01789461583489635,0.01789461583489635
race_code,-0.012683753385313775,0.012683753385313775
state_code,-0.0026319430266645186,0.0026319430266645186
